DXYZ:0,DXYZ:1,DXYZ:2,velocity:0,velocity:1,velocity:2,dirBC,neuBC,Points:0,Points:1,Points:2
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000149e-01,0.0000000000e+00,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.2812175674e-04,-2.0266632264e-04,0.0000000000e+00,4.4721944279e-01,0.0000000000e+00,1.0000000149e-01,4.1226041503e-03,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,1.0000000149e-01,1.0000000000e+00,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,8.2806635105e-01,3.7308843739e-03,0.0000000000e+00,1.1055611144e+00,0.0000000000e+00,1.0000000149e-01,9.9666470289e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.4343648507e-04,-3.8500225110e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000149e-01,7.4579399079e-03,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.9749900286e-04,-5.8136234258e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000149e-01,1.2668714859e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.0333809177e-03,-7.9219978975e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000149e-01,1.6884420067e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.8193983865e-03,-9.2465247879e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000149e-01,2.3440873250e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.2265293915e-03,-1.1295613167e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000149e-01,2.8745280579e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.4704172070e-03,-1.0811892037e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000149e-01,3.6948140711e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.1171206712e-03,-1.1996545036e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000149e-01,4.3584551662e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.9452267797e-03,-7.6456259641e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000149e-01,5.3774528205e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-6.9115950988e-03,-6.4466261658e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000149e-01,6.2018588185e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-9.3867872332e-03,4.9158225207e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000149e-01,7.4565827847e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.0728658885e-02,1.0940665628e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000149e-01,8.4716998041e-02,4.9999998882e-03
