DXYZ:0,DXYZ:1,DXYZ:2,velocity:0,velocity:1,velocity:2,dirBC,neuBC,Points:0,Points:1,Points:2
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,5.0000000000e-01,0.0000000000e+00,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.0513472806e-03,1.2830175793e-04,0.0000000000e+00,4.9999977426e-01,0.0000000000e+00,5.0000000000e-01,3.7289715838e-03,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.0000000000e+00,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.8629439648e-01,6.4749120767e-04,0.0000000000e+00,1.0000004515e+00,0.0000000000e+00,5.0000000000e-01,9.9627107382e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-8.5022212226e-03,2.3331816051e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,7.4579399079e-03,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.4620158985e-02,6.4671964715e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.2171181850e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.9099291462e-02,9.8748054331e-04,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.6884420067e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.5758099469e-02,1.7538153893e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,2.2814853117e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.1241651993e-02,2.4354490815e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,2.8745280579e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.6748459479e-02,3.4321670315e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,3.6164920777e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.2429426914e-02,4.4666615645e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,4.3584551662e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.4460657831e-02,5.2929139375e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,5.2801575512e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.8382716061e-02,6.4307794238e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,6.2018588185e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.5993564982e-02,6.6462455211e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,7.3367796838e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.6157634908e-02,7.3857596872e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,8.4716998041e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.0694792442e-02,6.8970724666e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,9.8540753126e-02,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.6981714118e-02,6.8504069876e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.1236450076e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.0844291347e-02,5.9622690867e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.2898141146e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.5160893913e-02,5.2041704289e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.4559830725e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.0200581674e-02,4.3322625353e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.6525846720e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.4838114095e-02,3.3061019986e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,1.8491859734e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.1694209175e-02,2.7193237337e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,2.0774775743e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.9066518852e-03,1.8730546157e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,2.3057690263e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-6.2555111398e-03,1.6393016602e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,2.5651624799e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.0722426255e-03,1.1919838622e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,2.8245559335e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-3.2561837571e-03,1.2542440903e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,3.1121146679e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.1021272781e-03,1.2049906125e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,3.3996731043e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-1.6064306043e-03,1.4724308832e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,3.7098756433e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-9.2316841277e-04,1.7178052725e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,4.0200778842e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-4.9706562039e-04,2.1133939511e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,4.3450129032e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.6441543258e-05,2.5402612583e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,4.6699479222e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.6100468945e-04,3.0075114693e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,5.0000000000e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,9.4219007221e-04,3.5267052349e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,5.3300517797e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.3974672778e-03,4.0223954587e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,5.6549870968e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.8689760649e-03,4.5688772120e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,5.9799218178e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.3449032798e-03,5.0591744333e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,6.2901246548e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.8183785660e-03,5.5862536953e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,6.6003268957e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3163137908e-03,6.0478924038e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,6.8878853321e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.8028730711e-03,6.5251811883e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,7.1754437685e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.3235833062e-03,6.9466678786e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,7.4348378181e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.8333420761e-03,7.3597601921e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,7.6942312717e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.3729393197e-03,7.7391818634e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,7.9225230217e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.9095365774e-03,8.0873282062e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,8.1508141756e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,6.4575663248e-03,8.4279983600e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,8.3474159241e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.0150835731e-03,8.7190952286e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,8.5440170765e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.5462488129e-03,9.0265163674e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,8.7101864815e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,8.1052745606e-03,9.2728572562e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,8.8763552904e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,8.5834067764e-03,9.5446618789e-03,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,9.0145927668e-01,4.9999998882e-03
