DXYZ:0,DXYZ:1,DXYZ:2,velocity:0,velocity:1,velocity:2,dirBC,neuBC,Points:0,Points:1,Points:2
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,1.0000000000e+00,5.0000000000e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-2.2423754876e-04,-5.7101724220e-03,0.0000000000e+00,5.0000022574e-01,0.0000000000e+00,9.9627107382e-01,5.0000000000e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0000000000e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.0903572982e-05,5.0975173014e-03,0.0000000000e+00,4.9999977426e-01,0.0000000000e+00,3.7289715838e-03,5.0000000000e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.6873678346e-05,1.0247179976e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,7.4579399079e-03,5.0000000000e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0241766697e-04,1.6157017645e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.2171181850e-02,5.0000000000e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.1180454614e-05,2.2050799984e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.6884420067e-02,5.0000000000e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.6278765952e-04,2.8655882966e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.2814853117e-02,5.0000000000e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.3176963519e-05,3.5126225045e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.8745280579e-02,5.0000000000e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.8395352708e-04,4.2122858203e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.6164920777e-02,5.0000000000e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-5.1331166697e-05,4.8813585183e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,4.3584551662e-02,5.0000000000e-01,4.9999998882e-03
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.8093232706e-05,5.5649643269e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,5.2801575512e-02,5.0000000000e-01,4.9999998882e-03
